City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
5,Maracacume,BR,84.36,overcast clouds,-2.0428,-45.9592,Hotel Ramos
10,Lianyuan,CN,80.6,overcast clouds,27.6883,111.6642,Lianyuan Hotel
13,Atuona,PF,77.32,light rain,-9.8,-139.0333,Villa Enata
15,Hithadhoo,MV,81.63,overcast clouds,-0.6,73.0833,Scoop Guest House
19,Pasuquin,PH,80.17,heavy intensity rain,18.3328,120.6177,Orchard Resort Hotel And Restaurant
22,Kailua,US,82.38,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
24,Kirakira,SB,77.0,scattered clouds,-10.4544,161.9205,SanBiz Lodge
25,Phangnga,TH,80.64,broken clouds,8.4509,98.5298,Sunimit Mansion
27,Bethel,US,84.47,light rain,41.3712,-73.414,Courtyard by Marriott Danbury
28,Bambanglipuro,ID,75.18,clear sky,-7.95,110.2833,Puri Brata
30,Kapaa,US,82.38,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
38,Kloulklubed,PW,82.29,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
40,Puerto Ayora,EC,73.36,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
42,Kapit,MY,74.53,light rain,2.0167,112.9333,Hotel Meligai Kapit
46,Yumen,CN,72.54,clear sky,40.2833,97.2,
50,Jamestown,US,84.02,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
55,Rikitea,PF,74.19,clear sky,-23.1203,-134.9692,People ThankYou
58,Bafra,TR,74.98,overcast clouds,41.5678,35.9069,Sevgi Otel
59,Yaan,NG,72.91,overcast clouds,7.3833,8.5667,
64,Banjar,ID,76.86,overcast clouds,-8.19,114.9675,The Hamsa Resort
68,Galle,LK,77.95,overcast clouds,6.0367,80.217,Amangalla
74,Ramsar,IR,81.84,clear sky,36.9226,50.6426,Rasa Residential Hotel
76,Trincomalee,LK,80.82,overcast clouds,8.5711,81.2335,Welcombe Hotel
79,Kota Belud,MY,78.66,overcast clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
83,Upata,VE,80.1,overcast clouds,8.0086,-62.3989,Posada Villa Nela
85,Akyab,MM,81.18,overcast clouds,20.15,92.9,Hotel Memory
87,Ciro Marina,IT,81.1,clear sky,39.3732,17.126,Hotel Miramare
92,Hilo,US,78.53,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
96,Padang,ID,78.31,light rain,-0.9492,100.3543,Mercure Padang
97,Chkalovsk,RU,78.39,light rain,56.7647,43.2433,Pokrovskiy Domik
98,Biak,ID,74.48,overcast clouds,-0.9131,122.8766,Penginapan Kim
101,Kavieng,PG,81.12,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
102,Birjand,IR,77.47,clear sky,32.8663,59.2211,Birjand Tourist Hotel
104,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
105,Agbor,NG,72.41,light rain,6.2518,6.1934,MIRAMAS HOTEL
116,Iglesias,IT,79.63,overcast clouds,39.3114,8.535,"B&B Mare Monti Miniere - Sardinia sud-ovest, trekkink climbing Masua"
118,Aquiraz,BR,84.29,clear sky,-3.9014,-38.3911,Pousada Rua Camurupim
119,Talara,PE,75.96,clear sky,-4.5772,-81.2719,Hostal Oro Negro
125,Dwarka,IN,81.73,broken clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
127,Glace Bay,CA,73.78,overcast clouds,46.1969,-59.957,Cedarwoods Bed & Breakfast
128,Sinnar,SD,76.46,overcast clouds,13.5691,33.5672,هجو الطاهر
129,Arraial Do Cabo,BR,73.26,few clouds,-22.9661,-42.0278,Pousada Porto Praia
130,Beaufort,MY,75.96,overcast clouds,5.3473,115.7455,The Gem Hotel Beaufort
131,Avarua,CK,73.45,overcast clouds,-21.2078,-159.775,Paradise Inn
134,Tautira,PF,80.62,scattered clouds,-17.7333,-149.15,Pension Oaoa
140,Olinda,BR,78.53,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
144,Itamaraca,BR,81.28,scattered clouds,-7.7478,-34.8256,Special K's Bed & Breakfast
145,Huzhou,CN,76.33,overcast clouds,30.8703,120.0933,Huzhou Plaza Hotel
149,Kahului,US,82.42,few clouds,20.8947,-156.47,Maui Seaside Hotel
152,Coruripe,BR,75.72,scattered clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
156,Thinadhoo,MV,81.75,overcast clouds,0.5333,72.9333,
157,Telde,ES,77.22,few clouds,27.9924,-15.4192,El Baladero Apartamentos
158,Vanimo,PG,75.9,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
159,Sorong,ID,77.22,overcast clouds,-0.8833,131.25,waigo splash hotel
162,Kirundo,BI,77.77,broken clouds,-2.5833,30.1667,Maranatha Hotel
167,Jinchang,CN,73.8,scattered clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
177,Parana,AR,75.51,broken clouds,-31.732,-60.5238,Howard Johnson by Wyndham Plaza Hotel Mayorazgo
179,Salamanca,ES,77.0,clear sky,40.8333,-6.0,Palacio Carrascalino
180,Kinshasa,CD,79.7,clear sky,-4.3246,15.3215,Flat Hotel Alhdeef
182,Caucaia,BR,84.15,broken clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
186,Ponta Do Sol,PT,75.0,scattered clouds,32.6667,-17.1,Hotel do Campo
190,Nabire,ID,74.59,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
194,Labuhan,ID,78.13,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
198,Sakaiminato,JP,78.03,moderate rain,35.55,133.2333,味処・民宿 まつや
203,Harper,LR,77.04,scattered clouds,4.375,-7.7169,Screensaver
207,Halifax,CA,76.68,overcast clouds,44.6453,-63.5724,Hotel Halifax
209,Caranavi,BO,80.92,clear sky,-15.8167,-67.55,Hotel Landivar
214,Yiyang,CN,79.36,overcast clouds,28.5892,112.3283,Tongcheng International Hotel
215,Poso,ID,76.46,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
