City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Longyearbyen,SJ,78.2186,15.6401,42.64,87,20,13.8,few clouds
1,Cape Town,ZA,-33.9258,18.4232,57.88,89,100,5.99,heavy intensity rain
2,Vengerovo,RU,55.6848,76.7471,62.49,92,100,7.38,light rain
3,Ust-Tsilma,RU,65.441,52.1498,46.24,91,93,4.59,overcast clouds
4,Hobart,AU,-42.8794,147.3294,42.66,87,12,3.0,few clouds
5,Maracacume,BR,-2.0428,-45.9592,84.36,66,92,2.3,overcast clouds
6,Calama,CL,-22.4667,-68.9333,68.2,7,59,17.87,broken clouds
7,Tasiilaq,GL,65.6145,-37.6368,44.76,96,100,17.2,moderate rain
8,Cabo San Lucas,MX,22.8909,-109.9124,95.5,67,40,11.5,scattered clouds
9,Brokopondo,SR,4.75,-55.1667,88.14,57,100,2.28,overcast clouds
10,Lianyuan,CN,27.6883,111.6642,80.6,87,100,1.54,overcast clouds
11,Chokurdakh,RU,70.6333,147.9167,53.17,68,37,8.21,scattered clouds
12,Mnogovershinnyy,RU,53.9353,139.9242,42.58,92,71,2.64,broken clouds
13,Atuona,PF,-9.8,-139.0333,77.32,80,26,19.55,light rain
14,Muros,ES,42.7762,-9.0603,67.14,70,100,10.27,overcast clouds
15,Hithadhoo,MV,-0.6,73.0833,81.63,75,100,5.55,overcast clouds
16,Bangangte,CM,5.1409,10.5198,61.77,99,100,3.89,light rain
17,Idar,DE,49.7167,7.3,61.48,68,9,3.0,clear sky
18,Hermanus,ZA,-34.4187,19.2345,58.8,89,100,20.62,moderate rain
19,Pasuquin,PH,18.3328,120.6177,80.17,83,100,9.57,heavy intensity rain
20,Ushuaia,AR,-54.8,-68.3,42.46,61,40,9.22,scattered clouds
21,Mahanje,TZ,-9.9333,35.3333,60.22,54,0,2.17,clear sky
22,Kailua,US,21.4022,-157.7394,82.38,67,40,12.66,scattered clouds
23,Albany,US,42.6001,-73.9662,88.03,56,17,3.71,few clouds
24,Kirakira,SB,-10.4544,161.9205,77.0,85,48,6.13,scattered clouds
25,Phangnga,TH,8.4509,98.5298,80.64,94,73,2.39,broken clouds
26,Yulara,AU,-25.2406,130.9889,39.04,48,0,6.91,clear sky
27,Bethel,US,41.3712,-73.414,84.47,72,1,8.05,light rain
28,Bambanglipuro,ID,-7.95,110.2833,75.18,89,10,3.22,clear sky
29,Hamilton,US,39.1834,-84.5333,91.89,54,20,1.01,few clouds
30,Kapaa,US,22.0752,-159.319,82.38,75,75,1.01,moderate rain
31,Busselton,AU,-33.65,115.3333,53.1,78,100,24.29,overcast clouds
32,Pangody,RU,65.85,74.4859,57.63,85,4,12.15,clear sky
33,Kaitangata,NZ,-46.2817,169.8464,37.31,88,98,9.6,overcast clouds
34,Mohelnice,CZ,49.777,16.9195,68.58,67,100,5.97,light rain
35,Mount Gambier,AU,-37.8333,140.7667,43.3,81,100,7.49,overcast clouds
36,Yangambi,CD,0.8102,24.4336,71.13,82,24,0.94,few clouds
37,Mataura,NZ,-46.1927,168.8643,35.47,99,92,3.33,overcast clouds
38,Kloulklubed,PW,7.0419,134.2556,82.29,76,100,15.52,overcast clouds
39,Pochutla,MX,15.7432,-96.4661,87.82,65,87,9.17,overcast clouds
40,Puerto Ayora,EC,-0.7393,-90.3518,73.36,85,64,8.01,broken clouds
41,Rokytne,UA,51.2796,27.214,68.05,70,12,3.51,few clouds
42,Kapit,MY,2.0167,112.9333,74.53,97,99,0.38,light rain
43,Souillac,MU,-20.5167,57.5167,69.37,92,100,17.54,moderate rain
44,Roald,NO,62.5833,6.1333,67.15,88,0,9.22,clear sky
45,Luderitz,NA,-26.6481,15.1594,56.23,85,71,6.24,broken clouds
46,Yumen,CN,40.2833,97.2,72.54,21,0,9.71,clear sky
47,Klaksvik,FO,62.2266,-6.589,52.72,93,100,6.89,overcast clouds
48,Barrow,US,71.2906,-156.7887,39.22,92,90,11.5,overcast clouds
49,Burnie,AU,-41.0667,145.9167,47.91,89,100,1.43,overcast clouds
50,Jamestown,US,42.097,-79.2353,84.02,60,1,5.99,clear sky
51,Bonavista,CA,48.6499,-53.1147,60.12,88,98,21.21,light rain
52,Naron,ES,43.5167,-8.1528,67.68,74,100,3.69,overcast clouds
53,Kaili,ID,-3.4626,120.2147,65.17,96,99,2.89,overcast clouds
54,Cherskiy,RU,68.75,161.3,53.13,45,22,1.1,few clouds
55,Rikitea,PF,-23.1203,-134.9692,74.19,75,2,11.81,clear sky
56,Grindavik,IS,63.8424,-22.4338,60.57,77,0,14.97,clear sky
57,Port Alfred,ZA,-33.5906,26.891,62.64,80,100,19.71,overcast clouds
58,Bafra,TR,41.5678,35.9069,74.98,81,93,13.0,overcast clouds
59,Yaan,NG,7.3833,8.5667,72.91,91,95,8.81,overcast clouds
60,Nuuk,GL,64.1835,-51.7216,47.01,81,75,6.91,broken clouds
61,Viedma,AR,-40.8135,-62.9967,53.44,37,84,16.96,broken clouds
62,Castro,BR,-24.7911,-50.0119,65.37,63,99,3.67,overcast clouds
63,Waipawa,NZ,-41.4122,175.5153,43.43,59,100,26.35,overcast clouds
64,Banjar,ID,-8.19,114.9675,76.86,87,95,3.2,overcast clouds
65,Bugene,TZ,-1.5911,31.1403,65.12,53,9,3.67,clear sky
66,Canala,NC,-21.5333,165.95,59.49,71,7,7.38,clear sky
67,Saskylakh,RU,71.9167,114.0833,60.21,56,100,7.74,overcast clouds
68,Galle,LK,6.0367,80.217,77.95,88,89,10.74,overcast clouds
69,Pisco,PE,-13.7,-76.2167,64.45,72,90,11.5,overcast clouds
70,Margate,GB,51.3813,1.3862,64.9,74,12,4.0,few clouds
71,Pevek,RU,69.7008,170.3133,37.27,83,16,9.08,few clouds
72,Abu Kamal,SY,34.4506,40.9171,93.33,20,0,9.15,clear sky
73,Badvel,IN,14.75,79.05,89.15,54,88,4.03,overcast clouds
74,Ramsar,IR,36.9226,50.6426,81.84,83,0,2.3,clear sky
75,Shimanovsk,RU,52.0,127.7,51.03,92,100,6.64,overcast clouds
76,Trincomalee,LK,8.5711,81.2335,80.82,76,100,19.69,overcast clouds
77,Kenai,US,60.5544,-151.2583,54.03,93,90,16.11,moderate rain
78,Berlevag,NO,70.8578,29.0864,64.4,67,0,6.91,clear sky
79,Kota Belud,MY,6.351,116.4305,78.66,88,100,3.56,overcast clouds
80,Kodiak,US,57.79,-152.4072,60.31,72,75,4.61,light rain
81,East London,ZA,-33.0153,27.9116,71.51,35,100,19.04,overcast clouds
82,Victoria,HK,22.2855,114.1577,85.32,91,100,10.09,light rain
83,Upata,VE,8.0086,-62.3989,80.1,81,100,1.99,overcast clouds
84,Korostyshiv,UA,50.3172,29.0563,67.23,67,11,0.58,few clouds
85,Akyab,MM,20.15,92.9,81.18,85,100,3.02,overcast clouds
86,Lydenburg,ZA,-25.0978,30.4597,54.39,45,2,1.57,clear sky
87,Ciro Marina,IT,39.3732,17.126,81.1,72,0,11.01,clear sky
88,Nampula,MZ,-15.1165,39.2666,63.3,71,0,4.32,clear sky
89,Saint George,US,37.1041,-113.5841,102.67,15,1,1.99,clear sky
